Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,8,375,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,10,354,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,3,0,25.1,2,0.4,20,254,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,1,951.6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,2,809,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,3,743,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,5,669,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,10,553,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,4,0,201.38,3,0.45,20,442,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,5,1725,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,10,1584,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,15,1489,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,20,1411,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,30,1293,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,5,0,24.2,2,0.55,40,1193,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,19.93,6,0.55,2,1072.6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,19.93,6,0.55,3,912.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,19.93,6,0.55,5,744.6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,19.93,6,0.55,7,618.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,4,10,1.91,1.17,0,0,3,0,19.93,6,0.55,10,480.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
